MWSC,Name,GLON,GLAT,d
2761,ESO_456-29,358.778,-3.977,3007.0
2762,Pfleiderer_2,22.277,9.333,8677.0
2764,NGC_6496,348.023,-10.008,11307.0
2765,Ruprecht_136,5.186,-0.467,4513.0
2767,ESO_229-02,341.346,-13.543,2362.0
2769,Trumpler_31,2.199,-2.29,830.0
2770,NGC_6507,11.574,3.055,3707.0
2771,Ruprecht_138,5.271,-0.592,1134.0
2772,Ruprecht_137,4.817,-0.839,1405.0
2773,Collinder_359,29.65,12.649,640.0
2774,BDSB_107,5.904,-0.44,2378.0
2776,Ruprecht_139,6.397,-0.218,593.0
2777,BDSB_106,5.335,-0.979,1478.0
2778,Terzan_9,3.604,-1.979,7108.0
2779,Djorg_2,2.767,-2.498,6305.0
2780,NGC_6517,19.22,6.769,10600.0
2781,Bochum_14,6.363,-0.502,538.0
2782,BDSB_109,6.151,-0.63,2062.0
2784,NGC_6525,37.365,15.9,3221.0
2785,BDSB_111,8.052,0.433,1763.0
2786,ESO_589-26,7.951,0.324,2434.0
2787,FSR_0117,42.873,18.231,1724.0
2789,NGC_6514,7.047,-0.268,1093.0
2790,NGC_6520,2.876,-2.85,1472.0
2791,Teutsch_14a,7.914,-0.018,2106.0
2792,NGC_6522,1.02,-3.92,7702.0
2793,Terzan_10,4.487,-1.984,5797.0
2795,NGC_6535,27.171,10.442,6806.0
2796,NGC_6531,7.671,-0.345,1194.0
2797,FSR_0035,9.695,0.772,2525.0
2798,NGC_6530,6.075,-1.323,1365.0
2799,ESO_139-54,335.273,-17.129,985.0
2800,NGC_6528,1.134,-4.168,7892.0
2801,NGC_6539,20.791,6.781,7801.0
2804,NGC_6540,3.294,-3.299,5301.0
2805,BDSB_3,8.671,-0.35,1515.0
2806,FSR_0125,48.271,19.347,6251.0
2807,FSR_0031,8.898,-0.264,1468.0
2808,Collinder_468,3.6,-3.225,7376.0
2809,FSR_0039,10.246,0.337,2940.0
2810,NGC_6544,5.834,-2.197,3000.0
2811,BDSB_105,5.19,-2.601,1129.0
2812,NGC_6546,7.313,-1.416,938.0
2813,NGC_6541,349.282,-11.182,7499.0
2814,ASCC_93,8.301,-1.042,1830.0
2817,FSR_1774,354.547,-8.639,1935.0
2818,Dol-Dzim_9,58.118,22.271,2626.0
2819,vdBergh_113,9.127,-0.727,2056.0
2821,NGC_6554,11.743,0.663,1775.0
2822,BDSB_113,10.323,-0.152,4644.0
2823,ESO-SC06,346.9,-12.562,21395.0
2824,NGC_6553,5.248,-3.024,6000.0
2825,ESO_521-38,6.465,-2.372,1490.0
2827,2MS-GC02,9.758,-0.597,7436.0
2828,Collinder_367,7.222,-2.025,1170.0
2830,FSR_0095,31.986,11.13,4297.0
2831,NGC_6558,0.195,-6.017,7411.0
2832,Dolidze_51,12.527,0.696,1423.0
2834,NGC_6561,13.419,1.172,2488.0
2835,IC_1276,21.827,5.675,5399.0
2837,Sgr_OB6,14.184,1.297,1594.0
2838,Terzan_12,8.361,-2.09,4801.0
2839,FSR_0099,33.39,11.181,2495.0
2840,ESO_456-72,2.364,-5.391,1211.0
2841,NGC_6568,9.407,-1.64,861.0
2842,ESO_522-05,6.997,-2.968,1657.0
2843,FSR_0051,16.71,2.254,4415.0
2844,NGC_6569,0.476,-6.674,10900.0
2845,NGC_6573,9.044,-2.083,3032.0
2846,FSR_0062,20.863,4.295,3976.0
2847,vdBergh-Hagen_261,3.356,-5.258,6555.0
2848,BDSB_115,13.187,0.056,7959.0
2850,FSR_0046,13.34,0.078,4736.0
2851,BDSB_116,13.875,0.282,5358.0
2852,BDSB_114,12.891,-0.26,4269.0
2853,Sgr_OB7,10.773,-1.471,1481.0
2854,FSR_0078,25.925,6.648,2971.0
2855,FSR_0063,21.245,4.13,3940.0
2856,FSR_0073,25.267,6.237,4429.0
2857,Markarian_38,11.987,-0.973,2318.0
2858,ASCC_94,15.553,0.927,731.0
2860,NGC_6583,9.281,-2.525,1753.0
2861,ASCC_95,6.154,-4.263,1213.0
2862,ESO_335-05,352.399,-11.336,7562.0
2863,FSR_0121,44.932,15.453,1523.0
2864,FSR_0102,35.603,11.117,2153.0
2865,Collinder_469,12.732,-0.847,1277.0
2869,FSR_1757,348.595,-13.299,1397.0
2870,BDSB_5,11.413,-1.709,6343.0
2872,Turner_2,12.105,-1.296,1290.0
2873,Trumpler_32,17.184,1.37,1623.0
2874,NGC_6596,14.299,-0.276,932.0
2875,Turner_3,12.097,-1.397,1392.0
2876,Dias_5,11.662,-1.728,1289.0
2878,NGC_6604,18.243,1.707,1895.0
2881,FSR_0145,56.413,19.498,1607.0
2882,NGC_6605,15.885,0.332,1144.0
2883,NGC_6603,12.833,-1.308,2325.0
2885,NGC_6584,342.139,-16.408,13501.0
2886,NGC_6611,16.96,0.836,1646.0
2887,Alessi_19,40.31,12.629,550.0
2889,FSR_0108,36.576,10.848,2496.0
2891,FSR_0076,25.541,5.097,5325.0
2892,NGC_6613,14.172,-1.012,1213.0
2893,ASCC_96,0.632,-8.128,759.0
2894,FSR_0077,25.698,5.077,3497.0
2895,NGC_6588,330.837,-20.87,4757.0
2896,NGC_6618,15.087,-0.686,1308.0
2898,Kronberger_2,16.817,0.036,3197.0
2900,Kharchenko_2,16.668,-0.326,3412.0
2903,NGC_6625,19.041,0.814,1335.0
2904,FSR_0120,44.122,13.316,1786.0
2906,NGC_6624,2.784,-7.907,7905.0
2907,Dolidze_52,15.03,-1.624,1318.0
2908,NGC_6626,7.793,-5.574,5501.0
2909,BDSB_8,17.992,-0.283,4360.0
2910,Trumpler_33,12.388,-3.221,1282.0
2911,Sct_OB3,17.284,-0.666,1475.0
2912,Ruprecht_170,21.064,1.14,5785.0
2913,Dolidze_28,16.966,-1.026,1258.0
2914,Mamajek_4,343.825,-16.993,386.0
2915,Bica_3,18.447,-0.405,1614.0
2916,NGC_6631,19.493,-0.181,2972.0
2917,NGC_6633,36.01,8.309,385.0
2921,FSR_0009,1.856,-9.529,5174.0
2923,FSR_0059,19.746,-0.549,1550.0
2930,FSR_0060,20.287,-0.574,1257.0
2931,FSR_0054,17.17,-2.266,2325.0
2932,Dias_6,19.614,-1.025,1916.0
2933,NGC_6638,7.892,-7.147,9410.0
2934,NGC_6639,18.921,-1.502,765.0
2935,Ruprecht_141,19.683,-1.203,3381.0
2936,NGC_6637,1.718,-10.263,8800.0
2937,Dolidze_29,24.741,1.412,1460.0
2939,NGC_6647,15.246,-3.547,5246.0
2940,IC_4725,13.696,-4.409,561.0
2941,NGC_6642,9.81,-6.432,8089.0
2942,FSR_0052,16.784,-2.918,1173.0
2943,Ruprecht_142,19.883,-1.348,1802.0
2944,Ruprecht_171,16.499,-3.07,1159.0
2945,Ruprecht_143,19.993,-1.395,2062.0
2946,NGC_6645,15.745,-3.573,1245.0
2947,Dolidze_30,25.441,1.361,1569.0
2948,IRAS_18306-0500,26.438,1.751,2023.0
2949,NGC_6649,21.623,-0.758,1564.0
2950,Ruprecht_144,20.744,-1.256,1649.0
2952,NGC_6659,52.495,14.129,1965.0
2953,BDSB_121,24.462,0.491,6952.0
2956,BDSB_117,22.762,-0.475,7459.0
2957,Dolidze_31,24.958,0.522,5163.0
2958,FSR_0072,24.714,0.32,1668.0
2960,NGC_6652,1.529,-11.37,9999.0
2961,NGC_6656,9.888,-7.546,3198.0
2962,NGC_6664,23.927,-0.444,1708.0
2963,ASCC_97,14.156,-5.551,591.0
2965,W_42,25.378,-0.174,4261.0
2966,FSR_1782,357.487,-13.732,2650.0
2967,IC_4756,36.37,5.261,483.0
2968,NGC_6682,27.312,0.432,1304.0
2969,Stephenson_2,26.221,-0.134,1128.0
2970,Trumpler_34,24.116,-1.257,1342.0
2971,ESO_281-24,351.289,-16.611,3830.0
2972,Dolidze_32,28.172,0.434,1381.0
2973,Dolidze_33,27.873,0.277,1930.0
2974,Palomar_8,14.096,-6.792,12801.0
2976,Dolidze_34,28.043,0.178,1422.0
2977,NGC_6683,26.36,-0.777,1441.0
2978,Teutsch_145,27.236,-0.402,1762.0
2979,ASCC_98,1.53,-12.955,800.0
2980,Trumpler_35,28.2,-0.047,1273.0
2981,NGC_6681,2.848,-12.503,9001.0
2982,BDSB_124,28.791,0.186,7813.0
2983,FSR_1785,358.549,-14.549,4080.0
2985,Andrews-Lindsay_5,27.731,-0.666,2289.0
2986,Berkeley_79,31.158,0.924,2434.0
2987,NGC_6694,23.873,-2.9,1748.0
2988,FSR_0069,22.923,-3.416,1848.0
2989,FSR_0087,29.09,-0.415,1174.0
2990,BDSB_125,29.952,-0.011,6699.0
2991,BDSB_10,28.968,-0.59,818.0
2992,FSR_0098,33.031,1.134,5387.0
2993,W_43,30.754,-0.013,4891.0
2995,NGC_6698,9.235,-10.751,4135.0
2996,Basel_1,27.332,-1.937,1604.0
2997,FSR_0089,29.487,-0.997,1516.0
2999,ASCC_99,15.882,-7.922,679.0
3000,FSR_0101,35.14,1.756,1657.0
3002,Czernik_38,37.157,2.631,1763.0
3003,FSR_0094,31.84,-0.113,2069.0
3004,FSR_0090,29.613,-1.371,1388.0
3005,Ruprecht_145,16.508,-8.023,770.0
3006,FSR_0088,29.107,-1.724,2837.0
3007,NGC_6704,28.209,-2.214,2180.0
3008,NGC_6705,27.282,-2.754,1750.0
3009,NGC_6709,42.136,4.707,1075.0
3010,Teutsch_146,33.084,0.083,4427.0
3011,Collinder_394,14.887,-9.239,668.0
3012,Ruprecht_146,14.092,-9.653,1735.0
3014,NGC_6712,25.349,-4.312,6905.0
3015,FSR_1773,354.221,-18.114,1312.0
3016,BDSB_127,34.254,0.151,2846.0
3018,Stephenson_1,66.797,15.371,373.0
3019,Berkeley_80,32.174,-1.193,1791.0
3020,NGC_6716,15.406,-9.58,669.0
3021,Archinal_1,38.246,1.774,1453.0
3022,Poole_J1855+10.8,42.952,4.083,4457.0
3023,NGC_6715,5.602,-14.081,26507.0
3024,NGC_6717,12.871,-10.893,7100.0
3025,Alessi_62,52.807,8.749,546.0
3026,Poole_J1856+10.8,43.033,3.918,4389.0
3028,ESO_524-01,9.072,-12.983,2796.0
3029,NGC_6724,42.804,3.579,4813.0
3031,FSR_0034,9.411,-13.34,1875.0
3032,NGC_6728,25.749,-5.679,1127.0
3033,NGC_6723,0.065,-17.292,8703.0
3034,NGC_6735,33.547,-2.234,2213.0
3035,NGC_6738,44.38,3.1,686.0
3036,NGC_6743,60.388,10.962,2220.0
3037,FSR_0037,9.868,-13.794,2711.0
3038,ASCC_100,64.379,12.667,350.0
3039,Berkeley_81,33.679,-2.47,3401.0
3042,NGC_6737,17.444,-10.657,2037.0
3043,FSR_0100,34.326,-2.772,2687.0
3044,ESO_397-01,3.574,-16.974,2207.0
3046,NGC_6749,36.195,-2.2,7902.0
3047,Alessi_56,43.214,0.97,5745.0
3049,Juchert_3,40.353,-0.696,1481.0
3050,Czernik_39,38.619,-1.588,1143.0
3051,NGC_6755,38.593,-1.683,2010.0
3052,NGC_6756,39.1,-1.681,1951.0
3053,BDSB_11,39.88,-1.274,2093.0
3054,FSR_0107,36.307,-3.209,2847.0
3055,FSR_0067,22.464,-10.25,4079.0
3060,BDSB_131,42.113,-0.612,5389.0
3062,NGC_6752,336.489,-25.622,4002.0
3063,Riddle_15,48.351,2.459,4496.0
3064,NGC_6760,36.103,-3.919,7400.0
3065,Berkeley_82,46.83,1.617,1125.0
3066,FSR_0124,46.468,2.639,3026.0
3067,FSR_0123,45.937,1.066,3308.0
3070,ASCC_101,67.977,11.63,363.0
3071,ESO_282-26,355.022,-21.86,1509.0
3072,BDSB_136,45.477,0.133,6292.0
3075,Berkeley_43,45.68,-0.135,1355.0
3076,BDSB_137,45.82,-0.294,5405.0
3077,NGC_6779,62.655,8.34,9403.0
3078,Ruprecht_147,21.004,-12.724,270.0
3079,NGC_6775,35.003,-6.057,2004.0
3080,ESO_231-30,345.886,-24.737,3276.0
3081,FSR_0149,57.142,5.418,5341.0
3082,Berkeley_44,53.205,3.348,1978.0
3083,Terzan_7,3.382,-20.06,22795.0
3084,Palomar_10,52.428,2.727,5894.0
3085,ESO_141-47,338.957,-26.193,2974.0
3086,Berkeley_45,50.032,1.169,2360.0
3087,ESO_337-23,0.501,-21.33,1995.0
3088,NGC_6791,69.962,10.91,4926.0
3089,Alessi_57,50.199,0.774,3797.0
3090,FSR_0209,75.703,13.538,1584.0
3091,FSR_0126,48.523,-0.163,2110.0
3093,BDSB_139,48.993,-0.29,5950.0
3095,Juchert_1,47.726,-1.002,2509.0
3096,BDSB_141,49.085,-0.366,5805.0
3098,NGC_6793,56.168,3.307,724.0
3099,BDSB_143,49.376,-0.296,6055.0
3108,BDSB_151,49.49,-0.385,5665.0
3112,FSR_0134,51.672,0.587,2478.0
3113,King_25,48.86,-0.93,1796.0
3114,BDSB_13,55.115,2.421,1735.0
3115,ASCC_102,63.259,6.678,1500.0
3116,Kronberger_13,49.166,-0.975,1455.0
3117,Dolidze_35,47.145,-2.103,1317.0
3119,FSR_0110,38.658,-6.706,1361.0
3120,FSR_0118,44.042,-3.848,2883.0
3121,BDSB_157,51.352,-0.01,5549.0
3123,FSR_0129,49.386,-1.328,1305.0
3124,NGC_6800,59.213,3.952,1082.0
3125,ESO_525-08,15.093,-18.003,2566.0
3126,Berkeley_47,52.534,-0.031,1462.0
3127,Arp_2,8.54,-20.779,28596.0
3128,King_26,50.406,-1.323,2537.0
3129,Teutsch_40,57.855,2.622,3150.0
3130,FSR_0133,51.094,-1.164,2814.0
3131,FSR_0070,23.427,-15.249,1537.0
3132,Teutsch_42,53.763,0.167,2003.0
3134,NGC_6802,55.333,0.921,1775.0
3135,FSR_0131,51.097,-1.428,1303.0
3136,FSR_0083,27.813,-13.493,4213.0
3137,BDSB_156,54.065,-0.079,3447.0
3138,Kronberger_79,54.18,-0.601,3369.0
3139,FSR_0142,55.768,-0.172,2669.0
3140,Stock_1,60.208,2.236,350.0
3141,ASCC_103,69.482,7.194,841.0
3142,FSR_0193,71.308,8.124,2076.0
3143,NGC_6811,79.22,12.006,1227.0
3144,Teutsch_27,54.725,-1.238,3600.0
3145,FSR_0148,57.022,0.023,941.0
3147,ASCC_104,54.885,-1.583,774.0
3148,Kronberger_3,44.454,-7.37,3685.0
3149,Saurer_5,61.04,1.728,5276.0
3150,NGC_6809,8.787,-23.266,5428.0
3151,Kronberger_31,61.627,1.905,12617.0
3152,FSR_0132,51.108,-4.035,3918.0
3155,NGC_6819,73.98,8.49,2360.0
3156,Terzan_8,5.755,-24.553,26316.0
3157,ASCC_105,62.766,2.196,494.0
3159,Skiff_J1942+38.6,72.707,7.553,2642.0
3161,Czernik_40,57.465,-1.108,3422.0
3162,Teutsch_43,65.043,3.185,2105.0
3163,NGC_6823,59.396,-0.139,1764.0
3164,ASCC_106,40.382,-10.76,525.0
3166,FSR_0160,62.701,1.347,2289.0
3168,Turner_9,64.753,2.505,852.0
3169,Roslund_1,54.603,-3.424,788.0
3170,Kronberger_4,63.841,1.897,3731.0
3171,Palomar_11,31.806,-15.567,13412.0
3172,Turner_8,63.569,1.689,2839.0
3173,Roslund_2,60.159,-0.262,1668.0
3174,Kronberger_5,63.649,1.595,1112.0
3177,Dolidze_53,60.911,-0.1,1392.0
3178,Sh2_88B,61.434,0.076,2471.0
3179,FSR_0085,28.394,-17.667,1338.0
3180,Teutsch_7,60.745,-0.563,4929.0
3181,FSR_0154,59.985,-1.082,4394.0
3182,FSR_0158,62.327,0.268,2769.0
3183,NGC_6832,91.963,16.372,3095.0
3184,Turner_1,63.454,0.827,2787.0
3185,ASCC_107,58.845,-1.866,672.0
3186,NGC_6827,58.255,-2.328,4192.0
3187,BDSB_15,63.143,0.449,2743.0
3188,Dias_7,58.286,-2.476,2796.0
3190,NGC_6828,46.823,-9.262,603.0
3191,NGC_6830,60.132,-1.8,1841.0
3192,Czernik_41,62.0,-0.694,1540.0
3193,Saurer_6,67.997,2.848,7329.0
3194,FSR_0182,69.196,3.381,4569.0
3195,Dias_8,50.333,-7.835,4785.0
3196,FSR_0143,56.299,-4.388,3065.0
3197,NGC_6834,65.695,1.193,2173.0
3198,Harvard_20,56.278,-4.676,1604.0
3199,NGC_6837,50.506,-7.999,3367.0
3200,NGC_6838,56.74,-4.56,3999.0
3201,ASCC_108,74.477,6.002,1039.0
3202,ASCC_109,70.314,3.48,479.0
3203,NGC_6839,56.064,-5.205,5588.0
3204,BDSB_16,64.131,-0.465,1951.0
3205,NGC_6840,51.162,-8.252,2451.0
3206,NGC_6843,51.315,-8.409,4200.0
3207,NGC_6846,68.688,1.931,4451.0
3209,SAI_132,68.122,1.43,2860.0
3210,FSR_0165,64.09,-1.285,2628.0
3211,Kronberger_52,67.619,0.856,2735.0
3212,Loiano_1,69.059,1.699,1447.0
3213,Roslund_3,58.826,-4.652,1582.0
3215,NGC_6856,89.668,13.521,1202.0
3216,Berkeley_49,70.976,2.581,2296.0
3217,Patchick_89,83.619,10.111,3260.0
3218,FSR_0172,66.419,-0.365,1689.0
3219,FSR_0163,63.222,-2.423,3412.0
3220,Kronberger_68,67.637,0.244,977.0
3221,BDSB_18,69.916,1.527,3518.0
3222,Toepler_1,70.295,1.723,2088.0
3223,Berkeley_83,66.08,-0.938,7837.0
3224,FSR_0162,63.192,-2.764,1721.0
3227,Kronberger_69,68.527,0.457,8486.0
3228,FSR_0188,70.628,1.761,3354.0
3229,Teutsch_8,71.856,2.417,1668.0
3231,Dolidze_36,77.707,6.024,970.0
3232,FSR_0198,72.183,2.61,2303.0
3233,NGC_6858,51.364,-10.313,2108.0
3234,ASCC_110,70.439,1.407,852.0
3235,Dolidze_37,73.893,3.585,1400.0
3236,FSR_0241,81.217,8.053,1037.0
3237,Kronberger_54,69.103,0.521,2900.0
3239,NGC_6866,79.561,6.837,1326.0
3241,Berkeley_84,70.916,1.28,2047.0
3242,Alessi_10,31.637,-20.977,513.0
3244,FSR_0167,65.179,-2.395,1993.0
3246,Roslund_4,66.98,-1.268,2096.0
3247,ESO_461-38,11.233,-28.182,2402.0
3249,FSR_0136,52.269,-10.477,4860.0
3250,FSR_0190,70.72,0.957,3924.0
3251,Dolidze_38,77.218,4.97,1532.0
3252,Dol-Dzim_10,76.66,4.624,2394.0
3253,NGC_6871,72.636,2.05,1791.0
3254,NGC_6864,20.297,-25.737,20897.0
3255,Kronberger_28,72.523,1.855,2694.0
3257,Basel_6,74.903,3.326,3108.0
3258,FSR_0192,71.101,0.836,2645.0
3262,Biurakan_1,72.762,1.747,1580.0
3263,NGC_6873,60.432,-6.144,4785.0
3264,FSR_0170,65.91,-2.681,4023.0
3265,FSR_0112,38.685,-18.719,1221.0
3267,Biurakan_2,72.751,1.334,1142.0
3268,Dolidze_1,73.654,1.813,1445.0
3269,FSR_0189,70.659,-0.164,2588.0
3270,Dolidze_2,77.772,4.399,4296.0
3271,IC_1311,77.702,4.181,5895.0
3272,Roslund_5,71.45,0.216,508.0
3273,Berkeley_50,72.413,0.917,1952.0
3274,ASCC_111,74.617,2.107,1580.0
3275,NGC_6883,73.274,1.172,1380.0
3276,Ruprecht_172,73.189,1.0,1803.0
3278,NGC_6882,65.776,-3.849,432.0
3279,FSR_0174,67.057,-3.063,831.0
3280,Berkeley_51,72.149,0.298,3292.0
3282,NGC_6885,65.557,-4.054,3776.0
3283,Kronberger_72,75.098,2.131,1073.0
3285,FSR_0178,67.872,-2.84,3810.0
3286,FSR_0166,64.861,-4.929,1904.0
3287,Kronberger_73,74.311,1.269,2685.0
3288,Berkeley_52,67.887,-3.177,4947.0
3290,FSR_0219,78.149,3.514,884.0
3291,Patchick_75,72.099,-0.512,1928.0
3292,Dolidze_3,74.549,1.031,1032.0
3294,Dolidze_39,75.52,1.495,1916.0
3295,ASCC_112,87.461,9.31,569.0
3296,NGC_6895,85.865,8.336,1935.0
3297,IC_4996,75.361,1.302,1764.0
3298,FSR_0195,72.057,-0.995,2331.0
3299,Melotte_227,314.804,-30.609,2218.0
3300,vdBergh_130,76.904,2.074,1589.0
3301,Feibelman_1,75.822,1.322,1457.0
3303,Dolidze_40,75.708,1.208,2702.0
3304,Kronberger_74,74.799,0.562,2405.0
3305,Collinder_419,78.089,2.778,871.0
3306,FSR_0232,79.686,3.811,1546.0
3307,Teutsch_124,70.24,-2.606,2103.0
3310,FSR_0254,82.82,5.771,1073.0
3311,Berkeley_85,75.678,0.994,1760.0
3312,FSR_0223,78.412,2.606,2466.0
3313,Dolidze_42,76.115,1.084,1239.0
3314,FSR_0222,78.392,2.524,1238.0
3315,Dolidze_5,77.145,1.667,969.0
3316,Berkeley_86,76.633,1.299,1653.0
3321,Alessi_11,59.886,-10.294,2973.0
3323,Berkeley_88,84.569,6.465,5038.0
3325,Berkeley_87,75.734,0.339,1239.0
3326,NGC_6904,66.131,-6.319,2920.0
3327,NGC_6910,78.697,2.017,1127.0
3328,Collinder_421,79.425,2.547,758.0
3329,NGC_6913,76.907,0.588,1173.0
3330,Kronberger_57,75.339,-0.501,1757.0
3332,Dolidze_8,80.042,2.669,1078.0
3333,Berkeley_89,83.136,4.841,2839.0
3335,FSR_0224,78.464,1.358,1427.0
3336,G_76.2-0.3,76.159,-0.294,1547.0
3337,Dolidze_9,79.908,2.309,1063.0
3339,Dolidze_11,79.566,1.886,1813.0
3340,FSR_0210,76.182,-0.541,1087.0
3341,ESO_026-02,313.585,-30.754,2473.0
3342,FSR_0213,77.621,0.381,1434.0
3343,DB2001_7,78.032,0.627,2378.0
3345,Teutsch_30,75.346,-1.419,1379.0
3346,IRAS_20264+4042,79.315,1.3,1818.0
3347,Teutsch_28,74.633,-2.077,3797.0
3348,Roslund_6,77.988,0.268,544.0
3349,FSR_0227,79.083,0.958,1297.0
3352,Dolidze_44,80.095,1.501,1499.0
3353,IRAS_20286+4105,79.87,1.18,1863.0
3354,Wit_4,82.328,3.024,1456.0
3355,FSR_0278,87.848,6.82,2368.0
3356,FSR_0128,49.237,-19.621,1504.0
3357,NGC_6939,95.9,12.3,1800.0
3361,IRAS_20306+4005,79.303,0.298,2024.0
3362,FSR_0236,80.249,0.96,901.0
3364,Cyg_OB2,80.226,0.789,1593.0
3366,FSR_0260,83.731,3.279,1318.0
3367,Kronberger_59,79.322,-0.014,844.0
3368,G_80.35+0.72,80.347,0.731,1089.0
3369,NGC_6934,52.096,-18.889,15606.0
3370,NGC_6940,69.853,-7.148,844.0
3372,NGC_6938,64.906,-10.75,2428.0
3373,FSR_0238,80.467,0.625,3091.0
3376,Patchick_103,90.066,7.669,1332.0
3377,Berkeley_90,84.874,3.797,2652.0
3378,DB2001_15,81.302,1.1,1728.0
3379,FSR_0255,82.889,2.188,1233.0
3380,FSR_0140,54.879,-18.256,4011.0
3382,FSR_0245,81.491,0.613,1186.0
3383,FSR_0249,81.746,0.72,1790.0
3384,DB2001_16,81.443,0.478,1413.0
3385,DB2001_20,81.892,0.799,1818.0
3391,FSR_0251,82.325,0.717,857.0
3392,FSR_0175,67.344,-10.634,2304.0
3394,NGC_6950,61.111,-15.187,3280.0
3395,DB2001_17,81.56,-0.076,4227.0
3396,DB2001_18,81.665,-0.016,1190.0
3397,Ruprecht_173,76.665,-4.009,1791.0
3398,Dolidze_47,77.394,-3.426,2293.0
3399,FSR_0183,69.519,-9.546,3104.0
3400,DB2001_22,82.567,0.399,1891.0
3401,FSR_0184,69.549,-9.658,2542.0
3402,FSR_0225,78.589,-2.781,1150.0
3403,Turner_11,76.838,-4.23,2200.0
3404,Alessi_12,67.396,-11.432,543.0
3405,Ruprecht_174,77.992,-3.387,1817.0
3407,FSR_0151,57.567,-18.557,2451.0
3408,FSR_0258,83.554,0.669,1238.0
3409,Ruprecht_175,77.007,-4.578,4431.0
3410,FSR_0237,80.257,-2.108,1656.0
3412,FSR_0274,87.139,2.582,2153.0
3413,SAI_137,82.103,-1.727,2396.0
3415,Dol-Dzim_11,78.125,-5.26,4873.0
3416,Roslund_7,79.802,-4.215,736.0
3418,FSR_0161,63.095,-17.385,3620.0
3419,NGC_6981,35.156,-32.677,16997.0
3420,CBJC_7,85.246,0.019,4494.0
3422,Barkhatova_1,86.209,0.793,912.0
3423,FSR_0261,83.986,-1.085,852.0
3424,NGC_6989,85.635,0.256,1905.0
3425,CBJC_8,85.412,0.008,2153.0
3426,NGC_6991A,87.393,1.625,565.0
3428,FSR_0410,110.564,19.603,2200.0
3430,CBJC_4,85.252,-0.607,1293.0
3431,FSR_0284,89.065,2.593,1887.0
3432,NGC_6997,85.446,-0.495,741.0
3434,FSR_0275,87.178,0.976,3948.0
3435,Berkeley_53,90.301,3.756,3301.0
3439,"Herbig_1,CBJC_3b",85.111,-1.205,2183.0
3442,FSR_0290,90.384,3.205,1201.0
3443,ESO_464-09,15.908,-39.43,1031.0
3446,NGC_7006,63.762,-19.404,41177.0
3448,FSR_0273,86.197,-1.071,2220.0
3449,Teutsch_22,85.679,-1.513,2629.0
3450,BDSB_19,77.692,-8.476,7514.0
3453,FSR_0282,88.729,1.054,2533.0
3455,Collinder_428,86.174,-1.408,1185.0
3456,Berkeley_54,83.079,-4.131,4236.0
3457,FSR_0253,82.798,-4.509,1414.0
3458,SAI_141,88.053,0.106,4940.0
3459,Teutsch_156,88.226,0.258,5408.0
3460,LDN_988e,90.538,2.249,700.0
3461,FSR_0270,86.145,-1.699,1758.0
3463,FSR_0310,94.439,5.507,5288.0
3464,BDSB_21,90.231,1.703,1285.0
3465,NGC_7024,84.272,-3.88,1513.0
3466,NGC_7031,91.321,2.315,1100.0
3468,FSR_0288,90.06,0.93,1734.0
3469,Dolidze_55,84.079,-4.982,1584.0
3470,NGC_7036,64.537,-21.439,1069.0
3471,Basel_12,88.284,-1.237,5664.0
3472,FSR_0368,104.923,13.791,1513.0
3473,Dolidze_45,81.931,-7.2,2928.0
3474,NGC_7039,87.989,-1.657,1550.0
3475,SAI_143,91.299,1.479,8999.0
3476,Berkeley_91,90.014,0.281,9471.0
3477,NGC_7037,79.106,-9.784,2471.0
3478,Riddle_6,98.5,7.97,1198.0
3479,Kronberger_80,92.925,2.795,4976.0
3480,ASCC_113,82.891,-6.65,501.0
3481,IC_1369,89.597,-0.415,2530.0
3482,Basel_13,88.754,-1.307,1313.0
3484,FSR_0265,85.481,-4.443,1476.0
3485,NGC_7044,85.888,-4.152,3171.0
3486,Cyg_OB4,82.657,-7.471,2471.0
3487,NGC_7050,81.523,-8.78,1685.0
3488,Basel_15,90.818,-0.104,701.0
3489,FSR_0291,90.528,-0.521,3529.0
3490,Berkeley_55,93.03,1.798,1700.0
3491,Berkeley_56,85.971,-5.219,13180.0
3492,FSR_0271,86.178,-5.284,1599.0
3494,NGC_7055,97.477,5.617,1948.0
3495,FSR_0346,100.93,8.894,2820.0
3497,BDSB_23,96.031,4.034,5883.0
3498,Basel_14,88.556,-3.551,1802.0
3499,ESO_236-07,345.73,-43.959,2933.0
3500,Teutsch_144,92.716,0.454,2472.0
3501,NGC_7058,92.873,0.613,404.0
3502,FSR_0347,101.294,8.86,2953.0
3503,FSR_0295,92.304,-0.179,1230.0
3504,FSR_0379,106.245,13.549,2396.0
3505,NGC_7062,89.962,-2.739,1600.0
3506,FSR_0296,92.505,-0.275,2400.0
3507,NGC_7063,83.086,-9.903,689.0
3508,NGC_7067,91.197,-1.668,2300.0
3509,FSR_0304,93.555,0.646,1423.0
3510,Berkeley_92,97.92,5.069,6000.0
3511,Kronberger_81,95.266,2.068,7500.0
3513,FSR_0314,95.591,2.044,1710.0
3514,FSR_0293,91.039,-2.726,2801.0
3515,FSR_0306,94.179,0.458,2328.0
3516,BDSB_24,96.296,2.569,1535.0
3517,NGC_7082,91.122,-2.86,1300.0
3518,NGC_7078,65.005,-27.309,10392.0
3519,Platais_1,92.576,-1.632,3508.0
3520,NGC_7086,94.407,0.225,1600.0
